"County","State","pct_more_65y","pct_less_18y","pct_high_school","pct_asian","pct_black","pct_latino","pct_white","pct_homeownership","households","housing_units","median_value_occupied_units","pers_houshold","median_household_income","income_capita","land_area","lang_other_eng","living_same_house","mean_travel_time_work","pct_female","veterans","pop_2020","pop_2010","pop_square_mile","retail_sales","total_firms","party","diff_Biden_Trump"
"Colbert County","AL",20,20.9,85.2,0.7,16.2,3.2,77.7,72.2,21880,26861,120800,2.48,48065,25536,592.62,2.7,90.6,23.4,52.2,3843,57227,54428,91.8,1011336,5090,"REP",-10860
"Cole County","MO",17.3,22.1,92.3,1.4,12.2,2.9,81.4,66.3,30154,33624,162300,2.38,60066,30422,393.75,4.4,84.5,18.1,49.5,5172,77279,75990,193,1257946,6476,"REP",-13392
"Coleman County","TX",25.9,20.3,86.5,1.1,3.2,17.5,76.4,74.6,3423,5559,76500,2.42,46743,27752,1261.95,10.1,86.7,24.8,49.1,667,7684,8895,7,68168,835,"REP",-3190
"Coles County","IL",17.5,17.9,91.4,1.1,4,2.7,90.7,61.5,20926,23459,100500,2.27,46202,28084,508.29,3.8,77.2,16.9,51.4,3060,46863,53873,106,701272,3582,"REP",-5970
"Colfax County","NE",13.8,29.5,69.3,1.3,5.8,45.7,47.7,72.3,3731,4252,101100,2.85,58872,23603,411.66,45.5,88.5,18.9,46.5,331,10582,10515,25.5,105973,769,"REP",-1611
"Colfax County","NM",27.4,17.9,88.2,0.8,0.9,49.2,46.9,71,5853,10356,104800,1.98,36302,24035,3758.06,24,83.1,16.9,49.2,1158,12387,13750,3.7,151562,1167,"REP",-660
"Colleton County","SC",20.7,22.5,86.6,0.5,37.1,3.3,57.2,74.9,15075,20251,90400,2.45,36324,21377,1056.49,3.2,93.6,32.1,52,2684,38604,38892,36.8,408338,3455,"REP",-1838
"Collier County","FL",32.9,16.8,87.1,1.6,7.3,28.6,62.2,73.3,142979,222284,360800,2.57,69653,45567,1998.32,33.7,83.8,24.7,50.7,27416,375752,321520,160.9,5304147,40670,"REP",-51329
"Collin County","TX",11.3,25.6,93.8,16.3,10.9,15.5,55.1,65,341163,390216,315300,2.84,96913,44548,841.23,28.7,85.1,28.9,50.8,41918,1064465,782341,930,14623924,82009,"REP",-21373
"Collingsworth County","TX",19,25,73.9,0.5,6.4,34,57.5,75.3,1035,1598,52200,2.81,39120,25681,918.44,23.4,90.6,13.1,51,169,2652,3057,3.3,15787,192,"REP",-893
"Colonial Heights city","VA",20.4,22.8,91.5,4.2,15.3,5.9,72.3,62.9,7036,9501,171700,2.45,54550,28364,7.52,10.3,82.5,24.3,53.8,1681,18170,17411,2315.3,763254,1600,"REP",-3035
"Colorado County","TX",22.6,23,83.1,0.7,12.5,30.7,55.7,82.4,7450,10801,124400,2.8,52559,29552,960.27,21.6,91.6,23.9,49.6,1002,20557,20874,21.7,256499,2086,"REP",-5052
